timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704532844849,10,HTTP请求,200,,线程组 1-5,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,9,0,5
1704532844847,12,HTTP请求,200,,线程组 1-19,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,12,0,7
1704532844850,11,HTTP请求,200,,线程组 1-11,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,10,0,5
1704532844848,13,HTTP请求,200,,线程组 1-8,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,13,0,4
1704532844846,16,HTTP请求,200,,线程组 1-12,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,16,0,9
1704532844850,13,HTTP请求,200,,线程组 1-9,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,13,0,4
1704532844849,15,HTTP请求,200,,线程组 1-3,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,13,0,3
1704532844846,18,HTTP请求,200,,线程组 1-17,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,16,0,6
1704532844849,13,HTTP请求,200,,线程组 1-18,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,13,0,5
1704532844847,17,HTTP请求,200,,线程组 1-15,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,15,0,7
1704532844846,18,HTTP请求,200,,线程组 1-4,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,17,0,7
1704532844848,18,HTTP请求,200,,线程组 1-16,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,17,0,5
1704532844849,17,HTTP请求,200,,线程组 1-1,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,16,0,4
1704532844861,7,HTTP请求,200,,线程组 1-19,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,7,0,0
1704532844854,14,HTTP请求,200,,线程组 1-6,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,13,0,3
1704532844846,23,HTTP请求,200,,线程组 1-10,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,22,0,6
1704532844846,24,HTTP请求,200,,线程组 1-13,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,22,0,6
1704532844852,18,HTTP请求,200,,线程组 1-14,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,16,0,11
1704532844863,7,HTTP请求,200,,线程组 1-11,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,7,0,0
1704532844850,20,HTTP请求,200,,线程组 1-2,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,20,0,3
1704532844865,6,HTTP请求,200,,线程组 1-5,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,6,0,0
1704532844866,6,HTTP请求,200,,线程组 1-20,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,4,0,0
1704532844866,6,HTTP请求,200,,线程组 1-17,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,6,0,0
1704532844866,7,HTTP请求,200,,线程组 1-9,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,6,0,0
